…………あの？　どうかしたんですか？= …………那？怎么了？
…………違うことが、したくなったんですか？= …………您想做些不同的事情吗？
あぁ、やひふぎれふぅ（やりすぎです）= 啊，yahifugirefuu（太多了）
あぁ、イっちゃいそうです……= 啊，看来要走了……
あぁ、乳首……強くされて感じてます= 啊，我的乳头……我能感觉到它们在变强 
あぁ、待って下さい、それ強すぎますっ……体が、震えてきますぅっ= 啊，等等，太强了……我的身体在颤抖。
あぁ、愛液が、溢れてきて……止まりませんっ= 啊，爱汁溢出来了……停不下来
あぁ、最高です……= 哦，太棒了...
あぁ、沢山かかってます……= 啊，需要很多... 
あぁ、舌で、そんなに責められたらっ……アソコがおかしくなります……= 啊，你要是用我的舌头这么责备我...我的鸡巴会发疯的...
あぁぁ、おしぃがおかひくなりまふ、わぁしのおしぃがぁ……\n（お尻がおかしくなります、私のお尻が）= 啊，我的屁股要疯了，我的屁股......\n
あぁいいです、イッちゃいそうです……= 啊，不错，看来要走了……
あぁっ、いいのぉっ、乳首、感じますっ……最高ですぅっ= 啊，很好，我能感觉到我的乳头...这是最好的
あぁっ、すごい、お尻が、溶けちゃいそうですっ= 啊，厉害了，我的屁股都快融化了
あぁっ、それ、すごいです……お尻が、おかしくなっちゃいますぅっ= 啊，太厉害了。。。我的屁股要疯了 
あぁっ、そんなに強くされたらっ、沢山感じてしまいますっ= 啊，要是你这么强，我会感慨很多
あぁっ、そんなに強く舐められたら……感じすぎて、溶けちゃいますっ= 啊，如果你这么用力舔我...我会感觉到太多，我会融化掉
あぁっ、そんなに舐められたら……変な声が出ちゃいますぅっ= 啊，你这样舔我……我会发出奇怪的声音
あぁっ、なんだか……お尻が不思議な感覚です……= 啊，不知怎的……我的屁股感觉很奇怪…… 
あぁっ、また感じてきてますぅ……んぅぅっ、もうイきそうですぅっ= 啊，我又开始感觉到了。
あぁっ、もうイキそうですぅ……私、限界なんですぅっ= 啊，看来我已经活过来了……我已经到了极限
あぁっ、らめ、いふっ、イカしゃれちゃいましゅ……\n（ダメ、イク、イカされちゃいます）= 啊，蹩脚的，如果，鱿鱼双关语...\n
あぁっ、アナタのっ、中で、硬くなってますっ= 啊，你内心变硬了 
あぁっ、イクっ…、私、また、またイっちゃいそうですぅ= 啊，Iku...我想我又要高潮了 
あぁっ、強く揉まれると、体の芯まで、響いて来ますっ= 啊，当你用力揉它时，它会引起你身体核心的共鸣
あぁっ、指を、そんなに動かされたらっ、んっ、体がビクビクしますぅ= 啊，手指动那么多，呃，我的身体会颤抖
あぁっ、激しい腰使いに……弾き飛ばされてしまいそうですぅ= 啊啊，我要被强烈的臀部震撼了... )
あぁっ、激しくされてっ、んんっ、すごく、感じてますぅっ= 啊，我被暴力了，nn，我真的感觉到了
あぁっ、自分から動いて、私もう、イっちゃいそうですっ= 啊，我要自己动了，我要走了
あうぅ……お尻に、硬いのがぁ……= 哇...有个硬屁股...
あぇぇ、なかにぃはいっれまふぅ……（中に、入ってます）= 啊，我正中午呢 Mafuu...（在里面）
あっ、んっ、体の、奥から、込み上げてきてます……私、もう、もうぉっ= 啊，nh，我的身体从后面涌了上来……我已经，更多
あっ、エッチな声、出ちゃいます……= 啊，调皮的声音出来了...
あっあっ、またイきそうですっ、もう少し、もう少し続けて下さいっ= 哦，看来又要来了，请再继续一会
あなはのが、あちゅく、かはくなっへ……イキしょうれしゅか？\n（アナタのが熱く、硬くなって……イキそうですか？）= 你阿楚库卡哈哈哈……你确定你还活着？\n
あなはのくひのらえき、れんぶ、のみほひてあへまふぅ\n（アナタの口の唾液、全部飲み干してあげます）= \n（我会把你嘴里的口水都喝光）
あなはのここ……しゅごくあふいれふ（あなたのここ、すごく熱いです）= Anahanokoko…Shugokuafuirefu（你这里很热）
あなはのもの、ははんれ、くわへて……しあわへれふぅ……\n（アナタのもの、挟んで、咥えて、幸せです）= 你的，hanre，kuwahe...快乐...\n
あなはわ、わらひのおひりぃ……しゅきしゅぎるんれふねぇっ\n（アナタは、私のお尻……好きすぎるんですね）= Anahawa，Warahinohirii... Shuki Shugirenref\n（你喜欢我的屁股......太喜欢了，不是吗？）
あの……まだ始めない方がいいですか？= 呃……我不应该开始吗？
あの……何を待ってるんですか？= 你在等什么？
あはぁ……なかれ、ふりゅえへまふ（中で、震えてます）= 啊哈...不，Fryuehemafu（内心，我在颤抖）
あひっ、まっへ、こへひじょうは、ほわれひゃいまふぅっ…\n（待って、これ以上は、壊れちゃいます）= 啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊...\n
あひわひなはら……かんひへまふ（味わいながら、感じてます）= Ahiwa Hinahara …… Kanhihemafu（我一边品尝一边感受）
あふいのが……びくびくひへまふ……（熱いのが、びくびくしてます）= 我很害怕...我很害怕...（我很害怕）
あふぅ……中に、来ました= 呼呼……我进来了
あまり、強く打たないで下さいね= 请不要打我太重 
あまり無茶はしないで下さいね= 请不要太鲁莽 
あんまり焦らさないで下さい、待ちきれなくなってしまいます= 别太着急，我已经不耐烦了 
あー、こへをらすのも、た、たいへんれふ\n（声を出すのも、大変です）= 啊，这很难说。\n
い、いいです……もう我慢できません= 我很好...我受不了了
い、いきそうです……我慢できそうに、ありません……= 好像要走了。。。受不了了，但是受不了了。。。
い、いきそうです……私、もうダメみたいです……= 看来我要去了。。。我觉得我做不下去了。。。
い、いきます……本当に私……いっちゃいます= 我，我去……我真的……我去
い、いっちゃう……私、どうにかなっちゃいそうです……= 走吧……我想我得做点什么…… 
い、いっひゃう、もうわらひ、おかひくなっひゃいまふぅっ\n（いっちゃう、もう私、おかしくなっちゃいます）= 我-我-我-我-我-我-我-我-我-我-我-我-我-我-我-我-我-我-我要疯了。
いいです……いきそうに、なってますぅ= 不错。。。看来要走了
いいです……このまま、いっちゃいますぅ= 没关系...让我们这样走
いいです……すごく気持ちいいですぅ= 挺好的。。。感觉真好 
いいです……その動き……感じてきます= 挺好的。。。那个动作。。。我能感觉到 
いいです……もっと激しく、責めて下さい= 可以的...请更猛烈的责备我
いいです……強く、感じます= 好……强烈的感觉
いいです……気持ち、いいです= 挺好的。。。感觉不错
いいです……激しくて、いやらしい音がいっぱい鳴ってますぅっ= 太棒了……里面充满了强烈的、令人讨厌的声音。
いいです……激しくて、感じます= 这很好......它很激烈，我觉得它
いいです……胸、もっと激しくして下さい= 没关系...请让我的胸部更激烈
いいです、強く揉まれて、感じてます= 没关系，我被用力揉了揉，我能感觉到
いいです、胸、強くされるの……すごく感じてますぅっ= 没关系，我的胸部正在被加强……我真的感觉到了。
いいですっ、お尻、もっと奥までかきまぜて下さいぃっ= 好了，屁股，请再搅深一点
いいですっ、そのまま続けて下さいっ、私、もうイキそうなんですぅっ= 没关系，就这样继续吧，我已经高潮了
いいですね、どんどん硬く、熱くなって来てますっ= 好，越来越难越来越热
いいですよ= 好的
いいですよ……何度だってお付き合いします= 没关系。。。以后再见
いいですよ……分かりました= 好吧。。明白了 
いいですよ、またお付き合いします= 好的，再见
いいですよ、またみんなで楽しみましょう= 没关系，我们再一起玩吧 
いいですよ、もっと続けましょう= 好吧，我们继续
いいですよ、イって下さいっ、私の胸で、果てて下さいっ= 没关系，请跟我来，请以我的胸部结束
いいですよ、何回でもしましょう= 好吧，想做多少次就做多少次
いいですよ。もっと、気持ちよくなりましょう= 好的。让我们感觉更好
いいれふ……きしゅも、うおひも、はげひくひへくらはい（いいです、キスも動きも激しくして下さい）= 好拒绝…… Kishumo、Uohimo、Hagehikuhihekurahai（好的，请让你的亲吻和动作变得暴力）
いいれふ……もっほちゅよふうおいへくらはい（いいです、もっと強く動いて下さい）= 好吧... mohochuyofuuoihekurahai（好吧，请更用力地移动）
いいれふぅ……しゅごく、かんじへきへまふぅ（いいです、すごく感じてきてます）= 很好……对不起，我感觉到了，我感觉到了。
いいれふぅ……もういきそうれふぅ（いいです……もうイキそうですぅ）= 好……已经好了（好……已经好了） 
いい感じで、揉んでください= 请感觉好再揉
いい感じで、痺れてきます= 感觉真好，我要麻木了 
いい感じでした……やっぱりみんな揃ってがいいですね= 那种感觉真好……大家在一起真好
いい感じでした……最高の時間です= 感觉很好...这是最好的时间 
いい感じです……すごく気持ちいいです= 感觉不错。。。感觉很好
いい感じです……たっぷり擦り付けて下さい= 感觉不错。。。请多多搓揉 
いい感じです……中で、どんどん大きくなってます……= 感觉不错。。。里面越来越大了。。
いい感じにできるよう、がんばります= 我会努力让它好看
いい時間になることを、期待しています= 希望你过得愉快 
いがいほ……くるひいれす（意外と、苦しいです）= I ga ho … kuruhiiresu（没想到，很痛）
いきそうです、もう我慢できません……= 我受不了了。。。
いきなり奥まで、届きそうです……= 一下子，好像要深入内心了……
いきます……私、もうイキそうですからぁ= 我去……我已经活着
いきます……私、もう我慢できませぇん= 走吧……我快受不了了
いきます、私……もういっちゃいますぅ= 我去……我已经去了
いきまふぅ……ほのまま、いかしぇへくらしゃお（いきます、このまま、いかせてください）= Ikifuu……老实说，就这样放过我吧。
いたいれすお……(痛いですよ)= 好痛……（好痛）
いたいれふ……ちはら、はいりまへん\n（痛いです、力、入りません）= It hurts... Chihara, I can't get in\n (It hurts, I can't get in)
いっちゃいそうです……これ以上は、もう無理ですぅ= 对了。。。不能再去了 
いっちゃいそうれす……もう、があんれきまへぇん（いっちゃいそうです、もう我慢できません）= 我受不了了。
いっちゃいました……最高でしたよ= 太棒了……太棒了 
いっちゃっいました……どちらかと言えば、いかされたの方が正しいでしょうか？= 该死的……如果有的话，发疯会更正确吗？
いってしまいましたぁ……お二人ともすごいですね= 对不起...你们两个都很棒 
いっぱい、精液出しましたね= 很多精液出来了 
いっぱい出してもらえたんで、なんだか自信が持てました= 我能从中得到很多，所以我有点自信
いっぱい感じたいんです……= 我想感受很多...... 
いっひゃいまふぅ……かららが、とけひゃいまふぅ\n（行きます、体が溶けちゃいます）= 我要走了，我的身体正在融化。
いっれくらはい、ぢゅ、があんひないでいいれふよぉっ？\n（イって下さい、我慢しないでいいですよ）= 多少钱？\n（来吧，不要退缩）
いつれほおしゅきなときい、らしへくらさい……(いつでもお好きな時に、出してください)= 该激动的时候，千万不要错过……（喜欢的时候请拿出来）
いつれもイッへ、いいれすかりゃね\n（いつでもイッて、いいですからね）= It always good to go\n (It always good to go)
いひが……くるひくなっへ、きまひたよ（息が、苦しくなって来ましたよ）= 伊比嘉……越来越糟了，Kimahyoyo（呼吸越来越困难）
いひしょうになっへるの……わかりますよ（イキそうになってるの、わかりますよ）= 你会活着的。
いひたふなっはら……いっへいいれしゅはらねぇっ\n（いきたくなったら、いっていいですからね）= Ihitafunahara……去那里也可以\n（想去的话可以说）
いひひゃはっはら……いっひゃっへくらはいねぇ（いきたかったら、いっちゃって下さいねぇ）= Ihihyahahahara……Ihyaheh，我不想去（如果你想去，请去！） 
いひまふぅ……わらひ、もうげんはいれふぅ（いきます、私、もう限界です）= Ihimafuu……Warahi，我已经到了极限
いまイっひゃら、おかひくなりまふぅ\n（今イったら、おかしくなります）= I'm going to go crazy now \n（如果我现在去，我会发疯）
いらいの、いいれす……(痛いの、いいです)= 我不喜欢，没关系...（很痛，没关系）
うぅく、こんなにされてるのに……お尻が気持ちいいですぅっ= 乌库，虽然你这样做了...我的屁股感觉很好
お、お尻、そんなに弄られたら……変になりそうです……= 哦，屁股，你要是这么跟我玩……会很奇怪的……
おかげで、気持ち良かったです= 托你的福，感觉不错
おくひに……しゅうひゅうれきまへん（お口に集中できません）= Okuhi ni……Shuu hyuru kimahen（我无法集中注意力）
おくひほ……むにぇれ……ごほうひふまふね（お口と胸で、ご奉仕しますね）= Okuhiho...Muniere...Gohohifumafune（我会用我的嘴和胸部为您服务）
おくひも……あしょこも、いいかんひれふ（お口もあそこもいい感じです）= Okuhimo...颠倒，漂亮的鳍（嘴巴和那边很好）
おくひも……かららも……しゅごくあふいれふ（お口も、体も、すごく熱いです）= Okuhimo……Karamo……Shugoku afuirefu（嘴和身体都很热）
おしぃぉ、ちかりゃちゅきてまふぅ……\n（お尻も、力尽きてます……）= Oshiio, chikarachukitemafuu...\n（我的屁股也累了...）
おふはりに、いかしゃれましゅ……(お二人、イカされます)= Ofuhari，很酷...（你们两个要成为鱿鱼）
おもちゃの優しい動き……感じてますから= 玩具轻柔的动作……我能感觉到
おわっれ、ほしいれしゅ……(終わって、ほしいです)= 完了，我要了...（完了，我要了）
お二人で入れるんですね……どうぞ= 你们两个可以放在一起...继续
お二人とも、沢山射精してくれたんですね= 你们都射精了很多 
お二人にいかされてしまいましたね= 你们两个占了我的便宜
お二人にご奉仕ですか？　もちろん、頑張ります= 你服侍你们两个吗？当然，我会尽力的
お二人の射精……とっても素敵でした= 你们两个的射精……太美妙了
お二人の射精、とっても素敵でした= 你的射精很好
お二人の射精で、震えてます……= 你的射精让我发抖...
お二人へのご奉仕……任せて下さい= 为你们两个服务......交给我
お互いに、いい気持になりたいですね= 我们希望彼此感觉良好 
お互いに攻め合うの、楽しそうです= 互相攻击看起来很有趣 
お互いに気持ち良くなりたいですね= 我想和对方相处得舒服 
お互い深く繋がり合えましたね……また、一緒にいきたいです= 我们能够深深地联系在一起......我想再一起去
お尻……アナタが欲しくてひく付いてますよ= 屁股...我被你吸引是因为我想要你
お尻……少し疲れたみたいです……感覚がマヒしてます……= 屁股……好像有点累了……感觉麻痹了……
お尻、ほぐされて……私、感じてるみたいです……= 我的屁股在松动……我想我能感觉到……
お尻、まだヒクついてます……体がずっと熱いままですよ……= 我的屁股还在抽搐……我的身体还在发热……
お尻、気持ち良くなって……すごく、いい感じですっ……= 我的屁股感觉好多了……感觉真好……
お尻から全身に、快感が昇ってくるみたいだですぅ= 好像快感从臀部上升到全身
お尻から垂れる感覚……クセになりそうです= 那种从屁股上滴下来的感觉…好像过瘾
お尻から熱いのが垂れてます……なんだか気持ちいいです= 热乎乎的东西从我的屁股上滴下来……感觉真好
お尻が、もう限界ですっ、このままイかせて下さいぃっ= 我的屁股已经到极限了，请让我这样走
お尻が、ムズムズして……ふぁ……変な気分です……= 屁股好痒……呃……感觉怪怪的……
お尻が、溶けちゃいますっ、私、いっちゃいます……= 我的屁股快融化了，我要去... 
お尻がいいなんて……変わった趣味ですね= 好屁股。。。奇怪的爱好
お尻がこんなに気持ちいいなんて……開発ってこういう事なんですね= 我简直不敢相信我的屁股感觉这么好……这就是发展的意义所在 
お尻って……感じるんでしょうか……= 臀部……你感觉到了吗……
お尻で、アナタの指が動いていて、体の芯までゾクゾクしてきてますぅっ= 在你的臀部，你的手指在动，我的身体开始发冷。
お尻で、ビクビクしてます……= 我的屁股吓坏了......
お尻であんなに気持ち良くなれるなんて……驚きました= 我很惊讶我的臀部感觉这么好 
お尻でイきそうですっ、もうっ、これ以上は限界ですぅっ……= 我想我可以射在我的屁股上，呃，我在我的极限... 
お尻で一緒でしたね……少し恥ずかしいです= 屁股在一起……有点尴尬
お尻で一緒にイケるなんて……なんだか嬉しいです= 跟你一起爽屁股有点开心
お尻の中で、びゅるびゅる出ています……= 它在我的屁股里面突出... 
お尻の中で、ゆっくり動いて……気持ちいいです……= 在屁股里，慢慢的动……感觉真好……
お尻の奥から、まだ快感が広がってる感じがします……= 我仍然能感觉到从屁股后面蔓延开来的快感...
お尻の感覚が、まだ戻ってない感じがします……= 感觉屁股还没找回感觉……
お尻もあそこも……感じてます= 我感觉到它在我的屁股那里 
お尻もあそこも……精液が垂れて来てます= 屁股那边……精液在滴
お尻を攻められたら……きっと変な声が出てしまいますね= 如果你攻击我的屁股...我敢肯定你会发出奇怪的声音 
お尻を舐めてくれるなんて……優しいんですね……= 舔我的屁股...你真好...
かなひ、まんろくれきまひたぁ……（かなり満足できましたぁ）= Kanahi，Manrokureki Mahitaa...（我很满意）
かなり、飲みごたえがありました……= 吃饱了。。。
かなりの量を出しましたね……興奮してくれたんですね= 你投入了很多钱......你很兴奋
かなり出しましたね……すごい勢いでした= 我放了很多......这是一个很大的势头
かはくて、あちゅくて、いひほうになっへまふねぇっ\n（硬くて、熱くて、イキそうになってますね）= 硬，热，硬，热，快活过来了）
かららが……うおかなふなっへきまひは（体が、動かなくなって来ました）= 卡拉拉……我的身体无法动弹。
かららが、うおかないれふよ……（身体が、動かないですよ）= Karara won't move...（我的身体不会动）
かららがかっへに……うごきまふ（体が勝手に動きます）= Karagakahaha……移动Mafu（身体自己移动）
かららじゅうが……あちゅくへ、とろとろれふ……\n（身体中が、熱くて、トロトロです）= Karaju是……Achuku，Toro Toro Lefu……\n（我全身又热又粘）
かららのちはらが……ぬへていきまふ（体の力が抜けていきます）= Karara no chihara 是...... nuhete ikifu（身体失去力量）
かんひながら……ごほうひひてまふ（感じながら、ご奉仕してます）= Kanhi nagara……gohohihitemafu（我一边感受一边服务）
かんひるとほろ……よふわはりまふはら（感じるところ、よくわかりますから）= Kanhiru和Horo……Yofuwa Harimafuhara（因为我知道你的感受）
がぁんしぇずに、いっへほしいれす……\n(我慢せずに、イッてほしいです)= 别担心，我要你走...\n(别犹豫，我要你来)
があんが、もうがあんれきまへん（我慢が、もう我慢できません）= ganga, mougaanrekimahen（我再也受不了了）
きしゅ、きもひいれふっ……ちゅ、もっとしてほひいれふぅ\n（キス気持ちいいです、もっとして欲しいです）= 纪州，Kimohirefu...chu，多亲，多\n（吻的感觉很好，我想要更多）
きしゅしゃれはままれ……かんひへまふ（キスされたまま感じてます）= Kishushare hamamare……Kanhihemafu（我觉得我被吻了）
きしゅで、かららのちかぁぬけちゃうかんひれふ……\n（キスで、体の力抜けちゃう感じです）= 这是一个吻，我要摆脱我身体的力量……\n
きしゅといっひょらと、あひゃまが、とけひゃいまふ\n（キスと一緒だと、頭が溶けちゃいます）= Kishutoikhyora、Ahyamaga 和 Tokehyaimafu\n（一个吻，我的头都融化了）
きしゅとろうじらと、なにもかんがへられまへんっ\n（キスと同時だと、何も考えられません）= 有了鬼州虎郎，我想不出什么\n
きしゅほろうひは……きもひいいれふね（キスと同時は気持ちいいですね）= Kishuhorohiha……Kimohiirefune（接吻时感觉很好）
きしゅも、こひも……はげひくひてくらはいっ\n（キスも、腰も、激しくして下さい）= Kishumo，Kohimo...我们去秃吧。\n
きもひいいれふぅ……もう、いっひゃいそうれしゅ（気持ちいいです……もうイッちゃいそうです）= 我感觉很好...我很高兴
きもひが……たはぶっへきまふね（気持ちが、昂って来ますね）= 感情......tahabuhekimafune（我的感情正在上升）
きもひよしゅぎて、ぜんしん、どろどろになりしょうれすぅっ\n（気持ち良すぎて、全身ドロドロになりそうですぅ）= 我感觉很好，我觉得我变得泥泞了。\n
きもひよはっはら……いっひゃっへいいれふよ（気持ち良かったら、いっちゃっていいですよ）= Kimohiyohahara……Ihyaheirefuyo（如果感觉不错，你可以去）
くぅっ、しゅごいっ……げんひしゅぎまふぅ\n（すごい……元気過ぎます）= 呜呜，修护……genhishugimafuu\n（厉害……你太有活力了）
くはえなはら……しゃれへるんれふね（咥えながら、されてるんですね）= 苦海奈原……
くひのはんはくが、ありまへん\n（口の感覚が、ありません）= 没有kuhi的纸\n（感觉不到嘴）
くひもむねも……あなはへのごほうひにちゅかいまふねぇ……\n（口も胸も、アナタへのご奉仕に使いますね）= Kuhi 和 Munemo...你要去医院...\n（我用我的嘴和胸部为你服务）
くるひいへろ……ひいかんひれふ（苦しいけど、いい感じです）= Kuruhiihero……hiikanhirefu（痛苦，但感觉很好）
こ、こへいじょうは……ほんろうにむひれふはら\n（これ以上は本当に無理ですから）= Ko-heijou 是... Honrounimuhirefuhara\n（因为这真的不可能）
こういうのも、悪くないですね= 这个不错
こういう体位も、興味があります= 我也对这个职位感兴趣 
こうしたいんですね？= 你想这样做吗？
こにょまま、いっへしまいしょうれす……(このまま、イッてしまいそうです)= 我要走了...
このくらいが、丁度いいのかも知れませんね= 这可能是对的
このくらいでも、気持ちいいんですね？　なら、続けますね= 你对这么多感到舒服吗？然后继续
このくらい強くても……大丈夫ですか？= 就算这么强……也行吗？
このまま、お二人にいかされてしまいそうです……= 照这样下去，我觉得我要被你们两个利用了……
このまま、すればいいんですね= 你应该照原样做
このまま、もう一度ですか？　わかりました= 你想再做一次吗？好的
このまま、優しくしてもらいたいです……= 我要你继续对我好...
このまま、放置するつもりですか？= 你打算保持原样吗？
このままするんですか？　どうなっても知りませんよ？= 你会继续这样做吗？你不知道会发生什么吗？
このままですか？　わかりました= 你想一直这样吗？好的
このままでよければ、大丈夫ですよ= 只要一直这样就好了 
このままで良ければ、大丈夫です= 如果没问题就没问题
このままアナタに、イカされてしまいそうです……= 看起来你要让我像这样高潮... 
このままイッてもいいんですよ？= 我这样走可以吗？
このまま放って置くつもりですか？　そういうプレイとか……= 你打算不管它吗？这么玩...
このまま続けたいんですね……= 我想继续这样... 
このまま続けてするんですね= 我要继续这样
このまま胸に出しても、いいですから……= 就这样放在胸前就好了...
このエッチに慣れてしまうのは……少しだけ怖いです……= 习惯这种性爱是……有点可怕……
このペースで、お願いします= 在此页面上，请 
この動かし方は、どうですか？= 你觉得这个动作怎么样？
この味、私は嫌いじゃないですよ……= 我不讨厌这个味道...
この感じ……いいです……もう、イキそうですからぁ= 这种感觉……真好……好像要活过来了
この痛さ……少し癖になりそうです= 这种痛……会成为习惯
この粘り気……のどに絡む感じが嫌いじゃありません= 这粘性……我不喜欢它卡在喉咙里的感觉
この胸、柔らかくて重たいですよ……心地いいですか？= 这胸又软又沉……舒服吗？
この調子で、続けてください……= 请继续以这个速度...
この速度……アナタの形が直に伝わって来ます= 这速度……我能直接感觉到你的形状。
この量は、もしかしたら飲み切れなかったかもしれないです= 我可能吃不完这个数量 
これ……すごく熱いです……= 这。。好热。。。
これ……好きでえす……= 我喜欢这个... 
これ……少しきついです= 这个有点紧
これ、すごいですっ、振動が、体の奥まで響いて来ますぅっ= 这太棒了，振动会在你的身体深处回荡。
これくらいの強さはどうですか？　少し弱い感じですか？= 强度怎么样？感觉有点虚弱？
これくらい激しい方が……感じてくれてるみたいですね= 似乎，这种强度，是让人感受到的……
これだけ出せば、さすがに空っぽですよね？= 如果你放这么多，它是空的，不是吗？
これで……良かったでしょうか？= 这个好吗？
これなら……平気そうです……= 如果是这样的话……看起来还行吧……
これ以上、イクのを我慢するのは難しいです……= 很难再忍受精液了...
こんなじょうはいなのに……いっひゃいまふぅ\n（こんな状態なのに、いっちゃいますぅ）= 虽然不是这样...对不起\n
こんなに、激しくされたら……私……= 如果你让我这么暴力...我...
こんなにいってしまうなんて、驚きです= 我很惊讶它是这样的
こんなにかけてもらえるなんて……私も満足です……= 能收到这么多...我也很满足了...
こんなにイクことになるなんて……予想外です……= 能射成这样……出乎意料……
こんなに何度もイクなんて……体がもちそうにないです……= Iku 这么多次...我似乎无法控制自己的身体... 
こんなに出したんですね……なんだか嬉しいです= 我很高兴我付出了这么多
こんなに出して体は大丈夫なんですか？　一度休憩しますか？= 你的身体可以放这么多吗？你想休息一下吗？
こんなに出すなんて……アナタの体が心配になってきます= 放这么多...我担心你的身体
こんなに出すなんて、溜まってたんですね= 放了这么多是积累的
こんなに垂れて来るなんて……沢山出してくれたんですね= 我简直不敢相信它滴了这么多……你给了我很多
こんなに強くされたら、きっとすぐに果てちゃいます……= 如果你让我变得这么强，我相信我很快就会死去... 
こんなに強くしても、大丈夫ですか？= 这么坚强可以吗？
こんなに強くしても、大丈夫なんですか……案外、丈夫なんですね= 就算这么强也没关系……？
こんなに気持ちいい事が、何度もできるなんて= 我不敢相信我可以这样做很多次 
こんなに気持ち良くしてくれて、ありがとうございます= 谢谢你让我感觉很好 
こんなに濡れちゃっただなんて、私……ものすごく感じてたようですね= 这么湿，我。。。一定是非常有感觉的 
こんなに飲んだら……お腹がいっぱいになりそうです= 喝这么多……我觉得自己饱了
こんな形でも、いけてしまうんですね……= 就算是这种形式，你也可以做到……
こんな感じが……気持ちいいんですよね= 这种感觉……好舒服对不对
こんな感じで……どうですか？= 是这样的……怎么样？
こんな状況で何度も一緒にイク私たちは……変態ですね= 在这种情况下，我们一次又一次地在一起……你是个色狼
こんな状況なのに、一緒にイッてしまいました……= 尽管如此，我们最终还是在一起了... 
こんな風に、感じ合えるんですね= 这样，我们就能感受到彼此
ご奉仕、楽しんでもらえたんですね= 我希望你喜欢你的服务 
さぁ……気持ちのいい時間の始まりですよ= 嗯...愉快的时光开始
さぁ、お二人とも……いつでも大丈夫ですよ= 好吧，你们两个……总是没问题的
さすがですね……今回もイケたのは、アナタのお陰です= 果然……多亏了你，我这次也能做得很好
しないんですか？　私も待ちますね= 不是吗？我也等 
しゃしゅがに……ちゅかれへきまひた（流石に、疲れてきました）= Shashugani... Chukarehekimahita（果然我累了）
しゃへいひてくらはい、いっはいらひてくらはいぃっ\n（射精して下さい、いっぱい出して下さい）= 你想吃多少？
しょんなにはげひくしゃれはら……こわれひゃいまふぅ\n（そんなに激しくされたら、壊れちゃいますぅ）= 我很害羞，很生气……我要崩溃了\n
じっくりアナタのものを擦っていると……私も興奮します= 仔细搓你的东西。。。我也激动
じわりじわりと、気持ち良くなっています……= 渐渐地，我感觉好多了...
すごい、勢いよく、脈打ってます……= 很厉害，很元气，很脉动...
すごい、手にジンジンと、熱が伝わって来ます……= 厉害了，我的手都热得发麻了。。。
すごい、迫力のある射精でしたね= 哇，好厉害的射精
